year	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
1924	0.00015451533545274287	0.0012120881583541632	0.0006446701008826494	0.000489845173433423	0.0003869066422339529	0.00033683402580209076	0.00029698770958930254	0.00021916690457146615	0.00024022757133934647	0.0001672645448707044	0.0002685388899408281	0.00014133674267213792	0.00016939829220063984	0.0001238747499883175	0.00013025823864154518	0.00015493534738197923	0.00011984858429059386	0.00010621630644891411	0.00012004876771243289	0.0001100535155273974	0.00017094645590987056	9.069068619282916e-05	8.947835158323869e-05	8.280299516627565e-05	9.535763820167631e-05	0.00012112360127503052	7.760097651043907e-05	7.668704347452149e-05	7.911920693004504e-05	6.968428351683542e-05	0.0001338746806140989	7.25589125067927e-05	5.384435280575417e-05	4.970873851561919e-05	4.576208448270336e-05	5.883122139493935e-05	5.022510595154017e-05	4.492205334827304e-05	4.407266897032969e-05	4.109326982870698e-05	8.46065377118066e-05	3.971722617279738e-05	4.096137126907706e-05	3.973032289650291e-05	3.9966053009266034e-05	5.102678551338613e-05	3.663211828097701e-05	3.6345871194498613e-05	4.117091157240793e-05	3.4280405088793486e-05	0.0001009693878586404	3.215880860807374e-05	3.331221523694694e-05	3.0909053748473525e-05	3.2242063753074035e-05	3.710732562467456e-05	3.1145722459768876e-05	3.055545312236063e-05	3.05582580040209e-05	2.9795870432280935e-05	6.916417623870075e-05	2.9876318876631558e-05	2.941420825663954e-05	2.9968927265144885e-05	3.273317634011619e-05	3.537675002007745e-05	3.068454680033028e-05	2.849746852007229e-05	2.9243021344882436e-05	2.691375630092807e-05	4.584533962770365e-05	2.6221525331493467e-05	2.876874896173831e-05	2.669018431333825e-05	2.630665221659001e-05	4.438323594513349e-05	2.6885692932410166e-05	2.8195319828228094e-05	2.685950130398851e-05	2.5264562282245606e-05	5.168253119336441e-05	2.7627502277027816e-05	2.6506837457418442e-05	2.5940891646314412e-05	2.6806179448612966e-05	3.21372936014086e-05	2.675940777407959e-05	2.7431995476945303e-05	2.8894099159515463e-05	2.5946505047613755e-05	4.586779323290102e-05	2.6183171939919703e-05	2.6408615667605773e-05	2.4134542400133796e-05	2.4171960831154138e-05	3.1041887268656865e-05	2.6051273380289786e-05	2.5990470021497458e-05	2.6698604415287264e-05	2.7545183911570348e-05
1925	0.0001435162703273818	0.0012216918403282762	0.0006595797603949904	0.0004933926975354552	0.00038886908441782	0.0003410569916013628	0.0002997051633428782	0.00021807152370456606	0.0002500172413419932	0.00017324206419289112	0.0002778708003461361	0.00014242742327041924	0.0001803977065719664	0.00012745223648380488	0.00013476598542183638	0.00016270219930447638	0.00012599235924426466	0.00010957075573969632	0.0001232828217325732	0.00011578488920349628	0.00017475764616392553	9.52747359406203e-05	0.00010049705451820046	8.567098848288879e-05	0.0001029595296131447	0.00012420007260516286	7.946044934215024e-05	7.871029811212793e-05	8.00659618107602e-05	7.021695637376979e-05	0.00013674334331881255	7.31906111468561e-05	5.533608782570809e-05	5.1437989895930514e-05	4.88200930703897e-05	6.192035652929917e-05	5.112804865348153e-05	4.508011261350475e-05	4.387358058011159e-05	4.156742215855047e-05	8.61722874105908e-05	4.1123621485894546e-05	4.155843998887576e-05	4.036178870592266e-05	4.115416595595889e-05	5.0912436563521624e-05	3.59048972313758e-05	3.6111523513682187e-05	4.149285814492032e-05	3.5183493309887126e-05	9.936688729794696e-05	3.353585270815529e-05	3.346667654113844e-05	3.144440779578872e-05	3.3221418561879545e-05	3.860274955513887e-05	3.216042387066409e-05	3.146597009617835e-05	3.152077260892838e-05	2.9668301067431457e-05	6.950723036425188e-05	3.0554110708180815e-05	2.994679925905075e-05	3.0321427402668633e-05	3.226822809665464e-05	3.600102354539558e-05	3.085866046603769e-05	2.852914622053504e-05	2.9648535928572528e-05	2.7589434466790408e-05	4.889196497970261e-05	2.7452881113276817e-05	2.9951292162877508e-05	2.671350921445992e-05	2.600108928163536e-05	4.384663043310866e-05	2.704680991882924e-05	2.7530140869203024e-05	2.6887795684160665e-05	2.5470142645644955e-05	5.183418033993803e-05	2.79011746897595e-05	2.598222272354178e-05	2.5672279662103392e-05	2.6825806344277225e-05	3.1864852644503117e-05	2.6423329472891055e-05	2.729206971707754e-05	2.88893988908967e-05	2.5188946892740205e-05	4.596322469296865e-05	2.554380989749916e-05	2.5736962925293483e-05	2.4926619516918436e-05	2.409920489299111e-05	3.170494164805859e-05	2.6175375751336105e-05	2.6047804567497224e-05	2.689767825359013e-05	2.8390795705490746e-05
1926	0.000161515359650366	0.001265710685402155	0.0006873821257613599	0.0005157060222700238	0.000411039509344846	0.00035630250931717455	0.000316037330776453	0.00023578223772346973	0.0002574657555669546	0.00018406831077300012	0.0002910602488555014	0.00016685247828718275	0.00018263222591485828	0.00013297323312144727	0.0001427134993718937	0.0001697644911473617	0.00013317351113073528	0.00012082971079507843	0.00013229838805273175	0.00011945058213314041	0.00018206084496341646	9.811540803639218e-05	9.787242743186653e-05	8.991468348540366e-05	0.00010295516403857619	0.0001288444036617875	8.451492612948641e-05	8.110934868454933e-05	8.574503590352833e-05	7.253749936353415e-05	0.0001409907708875835	7.576558709843084e-05	5.938501635682769e-05	5.276843876345083e-05	4.980706580681726e-05	6.294625927694142e-05	5.354769746190868e-05	4.7536679630866274e-05	4.731647277367301e-05	4.413584611029364e-05	8.887061267159879e-05	4.402669219416566e-05	4.483252632780932e-05	4.192335836705752e-05	4.292946687201038e-05	5.3679628763347864e-05	3.942802140954882e-05	3.807452230830677e-05	4.400296529638581e-05	3.628156264312565e-05	0.0001033993685268797	3.437565464992076e-05	3.477809877949767e-05	3.211286093574017e-05	3.3306903787888587e-05	3.9376765926135704e-05	3.294147609267384e-05	3.270323941251263e-05	3.2355845178244635e-05	3.0993804102763534e-05	7.393371197395027e-05	3.176072277710773e-05	3.2262829336104915e-05	3.173984441673383e-05	3.3460666600149125e-05	3.771858973777853e-05	3.252574606449343e-05	3.0035154850338586e-05	3.23985586874187e-05	2.9698203434236348e-05	4.933153832098469e-05	2.8737655156874098e-05	3.074797132285312e-05	2.7574937121244147e-05	2.7885311283171177e-05	4.542480382951908e-05	2.8213720725034364e-05	2.8331416615401395e-05	2.827636490110308e-05	2.627364119689446e-05	5.5142281780717894e-05	2.943528670584783e-05	2.8349450076348148e-05	2.7405038053984754e-05	2.81577213172568e-05	3.323096825624816e-05	2.8189042495796457e-05	2.804856740112882e-05	3.14503486151807e-05	2.736042733886279e-05	4.964570689480752e-05	2.6941848773276433e-05	2.7680294806486927e-05	2.502549978089519e-05	2.5530451239319518e-05	3.1499705073656514e-05	2.6677034838940017e-05	2.6208150302409194e-05	2.8061855118721724e-05	2.9232167435111478e-05
1927	0.00015633739531040192	0.0012264603283256292	0.000663601269479841	0.0004959310754202306	0.0003908952930942178	0.00034336745738983154	0.00029616770916618407	0.00022877512674313039	0.00024582742480561137	0.00017493407358415425	0.00027881114510819316	0.0001443302317056805	0.00017178693087771535	0.00012342027912382036	0.00013319723075255752	0.00015606930537614971	0.00012510117085184902	0.00011114749213447794	0.0001264457096112892	0.00011658735456876457	0.00017458703950978816	9.57464799284935e-05	9.481392771704122e-05	8.707230881555006e-05	0.00010047911200672388	0.0001230000489158556	8.137258555507287e-05	7.959136564750224e-05	8.295067527797073e-05	7.143939001252875e-05	0.00013398833107203245	7.24492347217165e-05	5.598163261311129e-05	5.192496973904781e-05	4.835842628381215e-05	6.002431473461911e-05	5.1862469263141975e-05	4.511918086791411e-05	4.519483627518639e-05	4.185855505056679e-05	8.558714034734294e-05	4.179112147539854e-05	4.331905074650422e-05	4.068999260198325e-05	4.249587800586596e-05	5.136001345817931e-05	3.7560119380941615e-05	3.708973235916346e-05	4.318912033340894e-05	3.605768142733723e-05	0.00010128337453352287	3.3940123103093356e-05	3.407581243664026e-05	3.150102565996349e-05	3.309885869384743e-05	3.824020313913934e-05	3.266383282607421e-05	3.2444266253151e-05	3.1294617656385526e-05	3.0194309147191234e-05	7.087525591487065e-05	3.1079161999514326e-05	3.090646714554168e-05	3.1652340112486854e-05	3.3134219847852364e-05	3.68035543942824e-05	3.215150718460791e-05	2.9672937671421096e-05	3.025516343768686e-05	2.8104712328058667e-05	4.81840870634187e-05	2.814583058352582e-05	2.970912100863643e-05	2.6699312002165243e-05	2.7205880542169325e-05	4.412249109009281e-05	2.7952577511314303e-05	3.0302859158837236e-05	2.8574275347637013e-05	2.5981398721341975e-05	5.297675670590252e-05	2.9403207008726895e-05	2.7310319637763314e-05	2.617136124172248e-05	2.7942709493800066e-05	3.2144929718924686e-05	2.7771659006248228e-05	2.8908150852657855e-05	3.202486550435424e-05	2.6842400984605774e-05	4.633544085663743e-05	2.6478921427042224e-05	2.5984687454183586e-05	2.4908229534048587e-05	2.5515946617815644e-05	3.168605690007098e-05	2.6802106731338426e-05	2.6783192879520357e-05	2.9225579055491835e-05	3.0157303626765497e-05
1928	0.00018000415002461523	0.001248328946530819	0.0006645593093708158	0.0005079827387817204	0.000402313336962834	0.00035112330806441605	0.00030265195528045297	0.00022606438142247498	0.0002493328065611422	0.0001783483603503555	0.00027925241738557816	0.00014725701475981623	0.00017587293405085802	0.00012749888992402703	0.00013829201634507626	0.00016715284436941147	0.0001287629856960848	0.00011439195077400655	0.00012838862312491983	0.00012108353985240683	0.00017654085240792483	9.711915481602773e-05	9.638939081924036e-05	8.751592395128682e-05	0.00010291853686794639	0.00012734634219668806	8.250403334386647e-05	8.107913163257763e-05	8.576612890465185e-05	7.285956962732598e-05	0.00014133311924524605	7.662054849788547e-05	5.600237273029052e-05	5.375700129661709e-05	4.825612631975673e-05	6.269396544666961e-05	5.209461596678011e-05	4.577162326313555e-05	4.5021242840448394e-05	4.126850762986578e-05	8.645631896797568e-05	4.265465395292267e-05	4.206671655992977e-05	4.063192318426445e-05	4.1994975617853925e-05	5.0882463256129995e-05	3.764606299228035e-05	3.694598126458004e-05	4.298531712265685e-05	3.529349487507716e-05	9.94461661321111e-05	3.413905869820155e-05	3.394033410586417e-05	3.367316458025016e-05	3.2788371754577383e-05	3.773924254346639e-05	3.2812287827255204e-05	3.15572542604059e-05	3.1595183827448636e-05	3.0361590688698925e-05	6.865166506031528e-05	3.053557884413749e-05	2.9579874535556883e-05	3.081181785091758e-05	3.2625928724883124e-05	3.6431432818062603e-05	3.1036932341521606e-05	2.903481617977377e-05	3.0331904781633057e-05	2.837843931047246e-05	4.8272620915668085e-05	2.7994177798973396e-05	2.9209630156401545e-05	2.743510231084656e-05	2.6686369892559014e-05	4.431950947036967e-05	2.8742086215061136e-05	2.7189373213332146e-05	2.7472209694678895e-05	2.5688610548968427e-05	5.250608955975622e-05	2.8511198252090253e-05	2.6503310436964966e-05	2.6034114853246137e-05	2.7923262678086758e-05	3.1727944588055834e-05	2.7539001166587695e-05	2.820857298502233e-05	3.0552895623259246e-05	2.622294778120704e-05	4.503608215600252e-05	2.6099258320755325e-05	2.589888208603952e-05	2.4913490051403642e-05	2.547256553953048e-05	3.0562790925614536e-05	2.7092895834357478e-05	2.6269124646205455e-05	2.766681427601725e-05	2.93044595309766e-05
1929	0.00015640328638255596	0.0011999158887192607	0.0006585543160326779	0.0004999806988053024	0.0003977611195296049	0.00034750381018966436	0.0003038330178242177	0.00022694710060022771	0.00025091561838053167	0.00018331356113776565	0.0002741005446296185	0.00014984798326622695	0.00017916438810061663	0.00013093615416437387	0.0001387187949148938	0.00015893335512373596	0.0001301751472055912	0.00011270907270954922	0.00013082954683341086	0.00011598108540056273	0.0001726264163153246	9.545102511765435e-05	9.490669617662206e-05	8.673055708641186e-05	0.00010101648513227701	0.00012148067617090419	8.22840811451897e-05	8.171462104655802e-05	8.46061302581802e-05	7.24784258636646e-05	0.00013119011418893933	7.261537393787876e-05	5.5752570915501565e-05	5.1710871048271656e-05	4.787026045960374e-05	5.792466981802136e-05	5.102093200548552e-05	4.6351698983926326e-05	4.585417627822608e-05	4.241747592459433e-05	8.457839430775493e-05	4.300860746297985e-05	4.2820520320674405e-05	4.090931543032639e-05	4.179687675787136e-05	5.469079042086378e-05	3.8480655348394066e-05	3.7396337575046346e-05	4.312388409744017e-05	3.635362736531533e-05	9.881665027933195e-05	3.430114156799391e-05	3.443895548116416e-05	3.143476715194993e-05	3.289092273917049e-05	3.8519658119184896e-05	3.243240644223988e-05	3.1875948479864746e-05	3.1596850021742284e-05	2.9922272005933337e-05	6.893945101182908e-05	3.103779090452008e-05	3.0361718017957173e-05	3.146943708998151e-05	3.252775059081614e-05	3.5581342672230676e-05	3.132122219540179e-05	2.953829607577063e-05	3.066941644647159e-05	2.8229489544173703e-05	4.749582149088383e-05	2.8451380785554647e-05	3.0028015316929668e-05	2.6964020435116254e-05	2.789145401038695e-05	4.379735764814541e-05	2.723358375078533e-05	2.8150614525657147e-05	2.858486186596565e-05	2.5547737095621414e-05	5.178627907298505e-05	2.9025175535934977e-05	2.77623075817246e-05	2.672826303751208e-05	2.7308991775498725e-05	3.2096970244310796e-05	2.7768373911385424e-05	2.844357914000284e-05	3.142523200949654e-05	2.677593511180021e-05	4.6520715841325e-05	2.6533241907600313e-05	2.5998451747000217e-05	2.4949671569629572e-05	2.467924241500441e-05	3.110713078058325e-05	2.6528041416895576e-05	2.5844168703770265e-05	2.8028402084601112e-05	3.0477864129352383e-05
1930	0.00017708160157781094	0.0012464377796277404	0.0006705182604491711	0.0005016261129640043	0.00039445594302378595	0.0003471296513453126	0.00029944590642116964	0.00022150081349536777	0.00024655042216181755	0.00017623977328184992	0.00027366369613446295	0.00014665399794466794	0.00017555135127622634	0.0001278033305425197	0.00013589802256319672	0.00015940131561364979	0.00012699201761279255	0.0001117601350415498	0.00012689802679233253	0.00011840410297736526	0.00017380340432282537	9.585028601577505e-05	9.520525054540485e-05	8.630164666101336e-05	9.993900312110782e-05	0.00012249844439793378	8.092365897027776e-05	7.938778435345739e-05	8.577710104873404e-05	7.32627377146855e-05	0.0001379190944135189	7.555852789664641e-05	5.746133319917135e-05	5.396785127231851e-05	4.893045479548164e-05	6.205933459568769e-05	5.306576349539682e-05	4.623222412192263e-05	4.5669923565583304e-05	4.1872797737596557e-05	8.695070573594421e-05	4.185593206784688e-05	4.258049375494011e-05	4.1001236240845174e-05	4.293474194128066e-05	5.272436828818172e-05	3.816805110545829e-05	3.820178972091526e-05	4.382236875244416e-05	3.6398418160388246e-05	0.00010213920177193359	3.389618723304011e-05	3.478703001746908e-05	3.2402880606241524e-05	3.309129533590749e-05	3.851266228593886e-05	3.340698458487168e-05	3.1634139304514974e-05	3.1967501854524016e-05	3.001793083967641e-05	7.053076842566952e-05	3.088065568590537e-05	3.0325587431434542e-05	3.0628427339252084e-05	3.209281203453429e-05	3.667876444524154e-05	3.0911181966075674e-05	2.960986239486374e-05	3.0951345252105966e-05	2.806273550959304e-05	4.881397762801498e-05	2.847080395440571e-05	2.9531140171457082e-05	2.7712503651855513e-05	2.7553453037398867e-05	4.3697862565750256e-05	2.7600846806308255e-05	2.8255524739506654e-05	2.7792029868578538e-05	2.5988656489062123e-05	5.33228121639695e-05	2.9154400181141682e-05	2.8744723749696277e-05	2.709397449507378e-05	2.7837013476528227e-05	3.2476782507728785e-05	2.810209662129637e-05	2.892385600716807e-05	3.2012485462473705e-05	2.6893956601270474e-05	4.7721510782139376e-05	2.6966252335114405e-05	2.6558183890301734e-05	2.544804556237068e-05	2.5222323529305868e-05	3.082201874349266e-05	2.6582283680909313e-05	2.7776766728493385e-05	2.7948670322075486e-05	3.093126360909082e-05
1931	0.00017132532957475632	0.001270232372917235	0.0006952168187126517	0.0005190148367546499	0.0004045890236739069	0.0003659965586848557	0.00031290086917579174	0.00023570410849060863	0.00025231155450455844	0.00018417456885799766	0.0002846082206815481	0.00014953038771636784	0.0001803521445253864	0.00013296179531607777	0.00014158566773403436	0.00016837636940181255	0.00013078491610940546	0.00011591085785767063	0.00013159586524125189	0.00012584913929458708	0.00018512236420065165	0.00010218395618721843	0.0001007884566206485	9.324836719315499e-05	0.00010619981185300276	0.00013232824858278036	8.66619884618558e-05	8.54878089739941e-05	9.089325612876564e-05	7.721449219388887e-05	0.00014213897520676255	7.937869668239728e-05	6.011118966853246e-05	5.50436379853636e-05	5.178972423891537e-05	6.253387982724234e-05	5.498535028891638e-05	4.851216363022104e-05	4.900295243714936e-05	4.439915937837213e-05	8.976384560810402e-05	4.4194734073244035e-05	4.435100709088147e-05	4.201701085548848e-05	4.4629770854953676e-05	5.4026579164201394e-05	4.0914634155342355e-05	3.9865477447165176e-05	4.613846249412745e-05	3.8179390685399994e-05	0.00010339530126657337	3.4556331229396164e-05	3.642150113591924e-05	3.337286034366116e-05	3.477089194348082e-05	4.139866723562591e-05	3.513074989314191e-05	3.417789048398845e-05	3.376143649802543e-05	3.152036151732318e-05	7.359481242019683e-05	3.2343974453397095e-05	3.250701047363691e-05	3.217418270651251e-05	3.377579923835583e-05	3.814982483163476e-05	3.2216419640462846e-05	3.023129829671234e-05	3.2369316613767296e-05	2.9300403184606694e-05	4.9661844968795776e-05	2.892703196266666e-05	3.083950650761835e-05	2.8584070605575107e-05	2.952256727439817e-05	4.5396787754725665e-05	2.82799665001221e-05	2.954790943476837e-05	3.109039244009182e-05	2.748000406427309e-05	5.611729284282774e-05	3.092313636443578e-05	2.9249718863866292e-05	2.707199746510014e-05	2.8632219255086966e-05	3.364739677635953e-05	2.8595051844604313e-05	2.9541997719206847e-05	3.3034120860975236e-05	2.8143118470325135e-05	4.84319134557154e-05	2.8173530154163018e-05	2.756109824986197e-05	2.7022158974432386e-05	2.5668896341812797e-05	3.244196341256611e-05	2.743945697147865e-05	2.6892070309258997e-05	2.8033304261043668e-05	2.871838296414353e-05
1932	0.0001839253818616271	0.0012666843831539154	0.0006915289559401572	0.0005225837230682373	0.00040701290708966553	0.0003584653895813972	0.0003061943280044943	0.00023519225942436606	0.00025610276497900486	0.00018283423560205847	0.00027969194343313575	0.00015441713912878186	0.0001803389604901895	0.00013347165076993406	0.00014175927208270878	0.00016525863611605018	0.00013476703315973282	0.00011901726975338534	0.00013586480054073036	0.00012475856055971235	0.00018036449910141528	0.00010268788901157677	0.00010359465522924438	9.341692202724516e-05	0.0001071356819011271	0.00012925363262183964	8.671118848724291e-05	8.601149602327496e-05	9.216408943757415e-05	7.899940828792751e-05	0.00014168456254992634	8.075148798525333e-05	6.036198101355694e-05	5.599550058832392e-05	5.171695738681592e-05	6.220955401659012e-05	5.475968646351248e-05	4.8762161895865574e-05	4.8411369789391756e-05	4.518804053077474e-05	9.054817201104015e-05	4.5216405851533636e-05	4.608062590705231e-05	4.349364462541416e-05	4.49856961495243e-05	5.506698653334752e-05	4.131513196625747e-05	4.094826363143511e-05	4.7418558096978813e-05	3.919146183761768e-05	0.0001056663240888156	3.5722296161111444e-05	3.6959998396923766e-05	3.441462104092352e-05	3.489873415674083e-05	4.209236067254096e-05	3.3887012250488624e-05	3.376125459908508e-05	3.442123852437362e-05	3.2656873372616246e-05	7.308981730602682e-05	3.232215385651216e-05	3.192219082848169e-05	3.279492011643015e-05	3.366292003192939e-05	3.963680865126662e-05	3.241103331674822e-05	3.086603101110086e-05	3.2268257200485095e-05	2.9065731723676436e-05	5.014358612243086e-05	3.085846401518211e-05	3.177279722876847e-05	2.822609712893609e-05	2.9147993700462393e-05	4.516723856795579e-05	2.885015055653639e-05	2.8773562007700093e-05	2.9727605578955263e-05	2.7674850571202114e-05	5.517477620742284e-05	3.054265835089609e-05	3.015782385773491e-05	2.7593534468906e-05	2.9808921681251377e-05	3.381231363164261e-05	2.9362628993112594e-05	2.896361365856137e-05	3.3081418223446235e-05	2.7689979106071405e-05	4.94656378577929e-05	2.727299761318136e-05	2.727299761318136e-05	2.7817626687465236e-05	2.5622095563448966e-05	3.099273089901544e-05	2.699028300412465e-05	2.6686766432248987e-05	2.826202762662433e-05	2.8893644412164576e-05
1933	0.00017871915770228952	0.0012954651610925794	0.0007116351625882089	0.0005397787899710238	0.0004223223659209907	0.0003703450202010572	0.0003192356089130044	0.00024291104637086391	0.00026056254864670336	0.0001938858040375635	0.00029704353073611856	0.0001598536327946931	0.00018614089640323073	0.00013986688281875104	0.00014732792624272406	0.00017138147086370736	0.0001383842754876241	0.00012099917512387037	0.00013940833741798997	0.00012817855167668313	0.0001912776060635224	0.00010512942390050739	0.00010415121505502611	9.482107998337597e-05	0.00010801383905345574	0.00013419848983176053	8.891250035958365e-05	8.926950249588117e-05	9.265940025215968e-05	7.88126781117171e-05	0.0001488411071477458	8.014571358216926e-05	6.284358096309006e-05	5.8285506383981556e-05	5.705182411475107e-05	6.55609619570896e-05	5.654852429870516e-05	5.103188959765248e-05	5.009188680560328e-05	4.7327564971055835e-05	9.796751692192629e-05	4.6910514356568456e-05	4.742473174701445e-05	4.370184979052283e-05	4.6304590796353295e-05	5.66118469578214e-05	4.1366583900526166e-05	4.128470391151495e-05	4.678278128267266e-05	3.979882603744045e-05	0.00010907393880188465	3.728014780790545e-05	3.765789369936101e-05	3.5244025639258325e-05	3.760985782719217e-05	4.286337934900075e-05	3.619931158027612e-05	3.522655606502667e-05	3.442848537815735e-05	3.281377939856611e-05	7.764668407617137e-05	3.329960964038037e-05	3.294369889772497e-05	3.318388189654797e-05	3.51424932887312e-05	3.912957981810905e-05	3.4154454624513164e-05	3.2119423849508166e-05	3.3973221434280276e-05	3.026671583938878e-05	5.338789560482837e-05	3.166088572470471e-05	3.3036496461136267e-05	2.9543973141699098e-05	3.075254426221363e-05	4.942810119246133e-05	2.9315797291928902e-05	3.0917399271856993e-05	3.0789666197961196e-05	2.8062462661182508e-05	5.768176561105065e-05	3.0648829124402255e-05	3.03333126794314e-05	2.862471592379734e-05	2.9797260140185244e-05	3.4646833228180185e-05	2.9774333597742952e-05	3.054074477404356e-05	3.323301280033775e-05	2.9601837013615295e-05	5.168148345546797e-05	2.802425115078222e-05	2.9209897547843866e-05	2.9638957130373456e-05	2.6710869860835373e-05	3.30223047058098e-05	2.8964252123842016e-05	2.877756196539849e-05	3.093268605880439e-05	3.280831879237667e-05
1934	0.0001341239403700456	0.001212440081872046	0.0006580494227819145	0.0005018829833716154	0.00038598704850301147	0.00034062733175233006	0.0002994124370161444	0.00022335039102472365	0.00024082380696199834	0.00017768694669939578	0.00026532550691626966	0.0001444409426767379	0.00017477598157711327	0.00012816436355933547	0.0001354669511783868	0.00016174826305359602	0.00012879174028057605	0.00011365601676516235	0.00012879744463134557	0.0001195481963804923	0.00017249712254852057	0.00010172644397243857	9.723138646222651e-05	9.012811642605811e-05	0.00010566532000666484	0.00012803814024664462	8.590450306655839e-05	8.738988981349394e-05	8.992975199362263e-05	7.790241943439469e-05	0.00014063779963180423	7.833522249711677e-05	5.6227214372484013e-05	5.320139825926162e-05	5.0229682528879493e-05	5.9694371884688735e-05	5.082953066448681e-05	4.632497439160943e-05	4.550777521217242e-05	4.241742135491222e-05	8.770974091021344e-05	4.212603744235821e-05	4.3029605876654387e-05	4.195045039523393e-05	4.2525618482613936e-05	5.1891602197429165e-05	3.8532645703526214e-05	3.904801997123286e-05	4.64208351331763e-05	3.603833829401992e-05	9.903282625600696e-05	3.322417978779413e-05	3.459187064436264e-05	3.2603449653834105e-05	3.3692096621962264e-05	3.835421011899598e-05	3.245348852942698e-05	3.248006396461278e-05	3.1331619538832456e-05	2.996013245137874e-05	6.866931653348729e-05	3.161730637657456e-05	3.1567004043608904e-05	3.0645402148365974e-05	3.365982774994336e-05	3.635060056694783e-05	3.095292049692944e-05	2.94941110041691e-05	3.1368635973194614e-05	2.959756602649577e-05	4.785781493410468e-05	2.835515988408588e-05	2.9884202376706526e-05	2.7302578018861823e-05	2.89967683784198e-05	4.387243097880855e-05	2.765375393209979e-05	3.122057387372479e-05	2.8302007194724865e-05	2.600891821202822e-05	5.33523088961374e-05	2.9274862754391506e-05	2.7809412131318823e-05	2.7196276278118603e-05	2.8242213375051506e-05	3.186882531736046e-05	2.9773154892609455e-05	2.8445325369830243e-05	3.1886858778307214e-05	2.712888817768544e-05	4.626233203453012e-05	2.611427044030279e-05	2.6509107556194067e-05	2.6816624085768126e-05	2.43688264163211e-05	2.9077444196445867e-05	2.662585029611364e-05	2.5713739887578413e-05	2.708332976908423e-05	2.7660398700390942e-05
1935	0.0001622500130906701	0.0012340018292889	0.0006682454259134829	0.0005067256861366332	0.00039075652603060007	0.00034786254400387406	0.0002985292812809348	0.00022597001225221902	0.00024398646201007068	0.00017522026610095054	0.0002699900360312313	0.00014808627020101994	0.00017039876547642052	0.00012934042024426162	0.00013800078886561096	0.00016200025856960565	0.00013193913036957383	0.00011607719352468848	0.00012869310739915818	0.0001225061423610896	0.00017280130123253912	9.724232222652063e-05	9.689404396340251e-05	8.994137169793248e-05	0.00010120737715624273	0.00012350259930826724	8.417355275014415e-05	8.229127706727013e-05	8.769698615651578e-05	7.50559993321076e-05	0.00013637173105962574	7.671531056985259e-05	5.785105895483866e-05	5.3548094001598656e-05	5.087591853225604e-05	6.152832793304697e-05	5.26095500390511e-05	4.876375896856189e-05	4.646406159736216e-05	4.349718801677227e-05	8.864676783559844e-05	4.490413994062692e-05	4.3424592149676755e-05	4.303482637624256e-05	4.405893196235411e-05	5.363278978620656e-05	4.054327291669324e-05	4.0154372982215136e-05	4.594985148287378e-05	3.9044713048497215e-05	0.00010098094935528934	3.580301199690439e-05	3.559300603228621e-05	3.303663834230974e-05	3.5147069866070524e-05	4.057006663060747e-05	3.3963948226301e-05	3.3911230275407434e-05	3.366060627740808e-05	3.2212166843237355e-05	7.192837801994756e-05	3.303490666439757e-05	3.292428664281033e-05	3.256909258197993e-05	3.383517832844518e-05	3.823580118478276e-05	3.299601667094976e-05	3.0916697141947225e-05	3.2771320547908545e-05	3.03091510431841e-05	5.01447866554372e-05	3.010432919836603e-05	3.1288313039112836e-05	2.8597125492524356e-05	2.8686139557976276e-05	4.538637585937977e-05	2.846144161594566e-05	2.9689503207919188e-05	2.9769011234748177e-05	2.80250096693635e-05	5.6886587117332965e-05	3.130300683551468e-05	2.9903829272370785e-05	2.712103378144093e-05	2.9569375328719616e-05	3.3880980481626466e-05	2.980098724947311e-05	3.0073217203607783e-05	3.500101593090221e-05	2.8501197448349558e-05	4.882252687821165e-05	2.778475572995376e-05	2.7954143661190756e-05	2.7663765649776906e-05	2.6063224140671082e-05	3.214043681509793e-05	2.6937817892758176e-05	2.7107205823995173e-05	2.8885775464004837e-05	3.0202851121430285e-05
